ID,Наименование,Дата размещения КР,МКБ-10
295_4,Мигрень,10/25/2024,"G43, G43.0, G43.1, G43.2, G43.3, G43.8, G43.9, G44.0, G44.1, G44.4"
304_2,Грибковый отит,10/25/2024,"B37.8, B44.8, B49, H60.8, H62.2, H66.3"
801_1,Хроническая воспалительная демиелинизирующая полирадикулонейропатия,10/24/2024,"G61.8, G61.9, G62.8, G62.9"
802_1,Чрезмерная рвота беременных,10/24/2024,"O21, O21.0, O21.1, O21.2, O21.8, O21.9"
154_4,Острый коронарный синдром без подъема сегмента ST электрокардиограммы,10/23/2024,"I20.0, I21.0, I21.1, I21.2, I21.3, I21.4, I21.9, I22.0, I22.1, I22.8, I22.9, I24.8, I24.9"
669_2,Железодефицитная анемия,10/23/2024,"D50, D50.0, D50.1, D50.8, D50.9, D53.8, D62, E61.1, O99.0"
695_2,Пароксизмальная ночная гемоглобинурия,10/23/2024,D59.5
451_3,Шизофрения,10/22/2024,"F20.0, F20.1, F20.2, F20.3, F20.4, F20.5, F20.6, F20.8, F20.9"
800_1,Преждевременная отслойка плаценты,10/21/2024,"O45, O46"
455_3,Тревожно-фобические расстройства,10/21/2024,F40
621_3,Острые и хронические тиреоидиты (исключая аутоиммунный и амиодарон-индуцированный тиреоидит),10/18/2024,"E06.0, E06.1, E06.2, E06.4, E06.5, E06.9"
798_1,Наследственные дистрофии сетчатки,10/18/2024,"H35, H35.5, H35.8, H36.8"
109_2,Миопия,10/18/2024,H52.1
684_2,Паховая и бедренная грыжа,10/18/2024,"K40.0, K40.1, K40.2, K40.3, K40.4, K40.9, K41.0, K41.1, K41.2, K41.3, K41.4, K41.9"
799_1,Нормальный послеродовый период (послеродовая помощь и обследование),10/18/2024,"O73.0, O73.1, O92.0, O92.2, O92.3, O92.4, O92.5, O92.6, O92.7, Z39.0, Z39.1, Z39.2"
710_2,Инородное тело в пищеварительном тракте,10/17/2024,T18
797_1,Предменструальный синдром,10/16/2024,N94.3
150_3,Идиопатическая тромбоцитопеническая пурпура (ИТП) у взрослых,10/16/2024,D69.3
685_2,Послеоперационная вентральная грыжа,10/15/2024,"K43.0, K43.1, K43.2, K43.3, K43.5"
672_2,Острый гепатит В (ГВ) у взрослых,10/15/2024,B16
651_2,Стриктура уретры,10/14/2024,"N32.0, N35.0, N35.1, N35.8, N35.9, N99.1"
617_5,Когнитивные расстройства у лиц пожилого и старческого возраста,10/14/2024,"F00, F01, F02, F03, F06.7, G30, G31, I67, I68, I69"
630_2,Инородное тело роговицы,10/14/2024,"S05.5, S05.8, T15.0"
106_2,Ожоги глаз,10/14/2024,T26
681_2,Пропионовая ацидемия /ацидурия,10/14/2024,E71.1
294_2,Болезнь Ниманна-Пика тип С,10/14/2024,E75.2
103_3,Травма глаза закрытая,10/14/2024,"H21.0, S04.0, S05.0, S05.1, S05.7, S05.8"
330_2,Рак трахеи,10/11/2024,C33
748_2,Неалкогольная жировая болезнь печени,10/11/2024,"K75.8, K76.0"
51_2,Рак полового члена,10/10/2024,"C60, D40.7"
476_3,Плоскоклеточный рак кожи,10/10/2024,"C44, D04"
502_2,Опухоли средостения,10/10/2024,"C37, C38.0, C38.1, C38.2, C38.3, C38.4, C38.8, D38.3, D38.4"
297_2,Карцинома Меркеля,10/9/2024,C44
332_2,Медуллярный рак щитовидной железы,10/8/2024,C73
329_2,Дифференцированный рак щитовидной железы,10/7/2024,"C73, D44.0"
92_2,Аномалия Эбштейна,10/7/2024,"I36.1, Q22.5"
156_2,Хроническая сердечная недостаточность,10/7/2024,"I50.0, I50.1, I50.9"
358_3,Другие воспалительные полинейропатии (Хроническая воспалительная демиелинизирующая полирадикулонейропатия),10/7/2024,"G61.8, G61.9, G62.8, G62.9"
796_1,Негонококковый (неспецифический) уретрит у мужчин,10/7/2024,"A49.3, A56.0, A59.0, A60, A63.8, B37.4, B96.8, N34.1"
467_3,Базальноклеточный рак кожи,10/7/2024,C44
155_2,Стабильная ишемическая болезнь сердца,10/4/2024,"I20.0, I20.1, I20.8, I20.9, I25.0, I25.1, I25.2, I25.3, I25.4, I25.5, I25.6, I25.8, I25.9, Q24.5"
159_2,"Легочная гипертензия, в том числе хроническая тромбоэмболическая легочная гипертензия",10/3/2024,"I27.0, I27.2, I27.8"
62_3,Артериальная гипертензия у взрослых,10/3/2024,"I10, I11, I12, I13, I15, I95.2"
47_3,Атрезия легочной артерии с дефектом межжелудочковой перегородки (АЛА с ДМЖП),10/1/2024,Q25.5
697_2,Ботулизм у детей,9/30/2024,A05.1
178_2,Геморрой,9/30/2024,K64
388_3,Язвенная болезнь желудка и/или двенадцатиперстной кишки,9/30/2024,"K25, K26"
191_2,Свищ заднего прохода и прямой кишки,9/27/2024,"K60.3, K60.4, K60.5"
179_3,Дивертикулярная болезнь,9/27/2024,"K57.0, K57.1, K57.2, K57.3, K57.4, K57.5, K57.8, K57.9"
173_2,Полип анального канала,9/27/2024,K62.0
177_5,Выпадение прямой кишки,9/27/2024,"K62.2, K62.3, K63.3"
331_2,Преждевременные роды,9/27/2024,"O42, O47.0, O60, O60.0, O60.1, O60.2, O60.3"
289_2,Внутрипеченочный холестаз при беременности,9/27/2024,O26.6
213_3,Дерматит контактный,9/27/2024,"L23, L24, L25"
265_3,Атопический дерматит,9/26/2024,L20
172_3,Анальная трещина,9/26/2024,"K60.0, K60.1, K60.2"
34_3,Тотальный аномальный дренаж легочных вен,9/25/2024,Q26.2
702_2,Врожденный надклапанный стеноз аорты,9/25/2024,Q25.3
259_2,Эндометриоз,9/25/2024,N80
597_3,"Цервикальная интраэпителиальная неоплазия, эрозия и эктропион шейки матки",9/25/2024,"N86, N87, N88.0, N88.1, N88.2, N88.4, N88.8"
257_2,Миома матки,9/25/2024,"D25, D26, D39.0, O34.1"
598_3,Доброкачественная дисплазия молочной железы,9/25/2024,"N60.0, N60.1, N60.2, N60.3, N60.4, N60.8, N60.9, N62, N63, N64.4"
645_2,Аномальные маточные кровотечения,9/24/2024,"N92, N93, N95"
644_2,Аменорея и олигоменорея,9/24/2024,"E28.8, N91, N91.0, N91.1, N91.2, N91.3, N91.4, N91.5, N92.5"
795_1,"Трансплантация легкого (легких), трансплантация легочно – сердечного комплекса, наличие трансплантированного легкого, наличие трансплантированного легочно – сердечного комплекса , отмирание и отторжение трансплантата легкого, отмирание и отторжение легочно – сердечного трансплантата",9/24/2024,"E84.0, E84.9, I27.0, I27.8, I27.9, I28, J43.9, J44.9, J47, J84, J98, J98.4, J99.1, T86.3, T86.8, Z94.2, Z94.3"
643_2,Воспалительные болезни женских тазовых органов,9/24/2024,"N70, N71, N73"
595_3,Затрудненные роды [дистоция] вследствие предлежания плечика. Дистоция плечиков,9/23/2024,O66.0
626_2,Тазовое предлежание плода,9/23/2024,"O32.0, O32.1, O32.2, O32.6, O64.1, O64.5, O64.8, O80.1, O80.8, O83.0, O83.1, O83.2"
456_3,Паническое расстройство,9/19/2024,F41.0
457_3,Генерализованное тревожное расстройство,9/19/2024,F41.1
531_4,Гипотиреоз,9/18/2024,"E03.1, E03.2, E03.3, E03.4, E03.5, E03.8, E03.9, E06.3, E89.0"
674_3,Шизофрения,9/18/2024,"F20.0, F20.1, F20.2, F20.3, F20.5, F20.6, F20.8, F20.9"
629_2,Конъюнктивиты,9/17/2024,"H10, H10.0, H10.1, H10.2, H10.3, H10.4, H10.5, H10.8, H10.9, H11.8, P39.1"
700_3,Сальмонеллез у взрослых,9/17/2024,A02
635_2,"Послеоперационный рубец на матке, требующий предоставления медицинской помощи матери во время беременности, родов и в послеродовом периоде",9/6/2024,"O34.2, O75.7"
637_2,"Преэклампсия. Эклампсия. Отеки, протеинурия и гипертензивные расстройства во время беременности, в родах и послеродовом периоде.",9/5/2024,"O10, O10.0, O10.1, O10.2, O10.3, O10.4, O10.9, O11, O12, O12.0, O12.1, O12.2, O13, O14, O14.0, O14.1, O14.2, O14.9, O15, O15.0, O15.2, O15.9, O16"
596_3,Резус-изоиммунизация. Гемолитическая болезнь плода,9/5/2024,"O36.0, O36.1, P55.0, P55.8, P55.9, P56.0, P56.9"
640_2,Подготовка шейки матки к родам и родовозбуждение,9/5/2024,"O48, O61, O61.0, O61.1, O61.8, O75.5, O75.6"
636_2,"Нормальные роды (роды одноплодные, самопроизвольное родоразрешение в затылочном предлежании)",9/4/2024,"O47.1, O47.9, O80.0, O80.9"
639_2,"Роды одноплодные, родоразрешение путем кесарева сечения",9/3/2024,"O32.0, O32.2, O32.4, O32.8, O34.0, O34.4, O82, O82.0, O82.1, O82.2, O82.8, O82.9"
638_2,Многоплодная беременность,9/3/2024,"O30, O30.0, O30.1, O30.2, O30.8, O30.9, O31, O31.0, O31.1, O31.2, O31.8, O32.5, O33.7, O43.0, O63.2, O84, O84.0, O84.1, O84.2, O84.8, O84.9"
671_2,Истмико-цервикальная недостаточность,9/2/2024,O34.3
562_3,Псориаз артропатический. Псориатический артрит,8/31/2024,"L40.5, M07.0, M07.1, M07.2, M07.3"
687_3,Ожоги термические и химические. Ожоги солнечные. Ожоги дыхательных путей.,8/31/2024,"L55, T20, T21, T22, T23, T24, T25, T27, T29, T30, T31, T32, T95"
678_2,Отморожение. Гипотермия. Другие эффекты воздействия низкой температуры.,8/30/2024,"T33, T34, T35, T68, T69, T95"
301_3,"Депрессивный эпизод, Рекуррентное депрессивное расстройство",8/26/2024,"F32, F33"
594_3,Расстройства аутистического спектра,8/26/2024,"F84.0, F84.1, F84.4, F84.5, F84.8, F84.9"
397_3,Специфические расстройства личности,8/23/2024,"F60.0, F60.1, F60.2, F60.3, F60.4, F60.5, F60.6, F60.7, F60.8, F60.9, F61"
409_3,Наследственная тирозинемия 1 типа,8/21/2024,E70.2
694_2,Нарушения митохондриального β-окисления жирных кислот,8/21/2024,E71.3
405_3,Изовалериановая ацидемия/ацидурия,8/21/2024,E71.1
375_3,Нарушения обмена галактозы (Галактоземия),8/21/2024,E74.2
376_3,Нарушения обмена меди (болезнь Вильсона),8/21/2024,E83.0
406_3,Глутаровая ацидурия тип 1,8/20/2024,E72.3
385_3,Болезнь «кленового сиропа»,8/20/2024,E71.0
96_2,Глаукома первичная открытоугольная,8/17/2024,H40.1
631_2,Глаукома первичная закрытоугольная,8/16/2024,H40.2
794_1,Сквозной макулярный разрыв Витреомакулярный тракционный синдром,8/15/2024,H35.3
625_2,Астигматизм,8/15/2024,H52.2
114_3,Макулярная дегенерация возрастная,8/15/2024,H35.3
116_2,Злокачественные опухоли слюнных желез,8/14/2024,"C06.9, C07, C08"
238_2,Саркома Капоши,8/14/2024,"B21.0, C46.0, C46.1, C46.2, C46.3, C46.7, C46.8, C46.9"
547_3,Рак яичников / рак маточной трубы / первичный рак брюшины,8/14/2024,"C48, C56, C57, D39.1, D39.7, D39.9"
475_3,Рак гортани,8/14/2024,"C32, D38.0"
4_2,Рак ротоглотки,8/14/2024,"C01, C02.4, C05.1, C05.2, C09, C10, D37.0"
624_2,Анемия при злокачественных новообразованиях,8/13/2024,D63.0
27_2,Рак гортаноглотки,8/13/2024,"C12, C13"
628_2,Подозрение на глаукому,8/9/2024,H40.0
793_1,Синдром дефицита Glut1,8/8/2024,G40.4
792_1,Локализованный гипертрихоз,8/7/2024,L68.2
231_2,Буллезный пемфигоид,8/7/2024,L12.0
196_2,Гнездная алопеция,8/7/2024,L63
369_2,Пузырчатка,8/7/2024,L10
575_3,Синдром Сезари,8/7/2024,C84.1
8_2,Недержание мочи,8/7/2024,"N39.3, N39.4, N39.8, N39.9, R32"
183_3,Недостаточность анального сфинктера,8/2/2024,"K62.8, R15"
174_3,Ангиодисплазия кишечника,8/2/2024,"K55.2, K55.3, K55.8"
182_3,Идиопатический мегаколон,8/2/2024,K59.3
185_3,Острый парапроктит,8/2/2024,"K61, K61.0, K61.1, K61.2, K61.3, K61.4"
161_2,"Психические и поведенческие расстройства, вызванные употреблением психоактивных веществ Синдром зависимости от психоактивных веществ (кроме алкоголя и никотина)",7/31/2024,"F11.2, F12.2, F13.2, F14.2, F15.2, F16.2, F18.2, F19.2"
32_2,"Психические и поведенческие расстройства, вызванные употреблением психоактивных веществ Синдром отмены психоактивных веществ (абстинентное состояние, вызванное употреблением психоактивных веществ) (кроме алкоголя и никотина)",7/31/2024,"F11.3, F12.3, F13.3, F14.3, F15.3, F16.3, F18.3, F19.3"
246_3,Экзема,7/30/2024,L30
622_5,Сахарный диабет 2 типа у детей,7/29/2024,"E11.2, E11.3, E11.4, E11.5, E11.6, E11.7, E11.8, E11.9, R73.0"
712_2,Врожденный гипотиреоз у детей,7/26/2024,"E03.0, E03.1, E07.1, E07.8"
24_2,Другие сфинголипидозы (болезнь Гоше),7/26/2024,E75.2
686_3,Тиреоидиты у детей,7/24/2024,"E03.8, E06.0, E06.1, E06.3, E06.5, E06.9"
648_2,Преждевременное половое развитие,7/24/2024,"E22.8, E28.1, E29.0, E30.1, E30.8, E31.1"
229_3,Ожирение у детей,7/23/2024,"E66.0, E66.1, E66.2, E66.8, E66.9, E67.8"
699_2,Иммунная тромбоцитопения,7/22/2024,D69.3
661_2,Ранняя анемия недоношенных,7/22/2024,P61.2
660_2,Врожденная анемия вследствие кровопотери у плода и другие врожденные анемии новорожденных,7/22/2024,"P61.3, P61.4"
641_2,Женское бесплодие,7/22/2024,"N97, N97.0, N97.1, N97.2, N97.3, N97.4, N97.8, N97.9, N98.0, N98.2, N98.3, N98.8, N98.9, Z31.1, Z31.2, Z31.3, Z31.4, Z31.5, Z31.6, Z31.8"
79_2,ВИЧ-инфекция у взрослых,7/22/2024,"B20, B21, B22, B23, B24, F02.4, R75, Z11.4, Z20.6, Z21, Z71.7, Z83.0"
274_3,Запор,7/22/2024,K59.0
791_1,Послеродовые инфекционные осложнения,7/19/2024,"O08.0, O75.3, O85, O86.0, O86.1, O86.4, O86.8, O90.0, O90.1, O90.2, O90.8, O90.9, O91.1, O99.5"
790_1,Дефицит 3-гидрокси-3-метилглутарил-КоА лиазы,7/19/2024,E71.1
789_1,"Недостаточность митохондриальной ацетоацетил-КоА-тиолазы (дефицит бета-кетотиолазы, дефицит Т2)",7/18/2024,E71.1
788_1,"Недостаточность 3-метилкротонил-КоА карбоксилазы (3-метилкротонилглицинурия, метилкротонил КоА карбоксилазная недостаточность)",7/18/2024,E71.1
482_2,Классическая фенилкетонурия и другие виды гиперфенилаланинемии,7/18/2024,"E70.0, E70.1, E70.9"
670_2,Выкидыш (самопроизвольный аборт),7/17/2024,"N85.3, N85.7, O02, O02.0, O02.1, O02.8, O02.9, O03, O03.0, O03.1, O03.3, O03.4, O03.5, O03.6, O03.8, O03.9, O05, O05.0, O05.1, O05.3, O05.4, O05.5, O05.6, O05.8, O05.9, O20, O20.0, O20.8, O20.9"
459_2,ВИЧ-инфекция у детей,7/17/2024,"B20, B21, B22, B23, B24, R75, Z20.6, Z21"
176_2,Болезнь Крона,7/16/2024,K50
787_1,Увеиты неинфекционные,7/12/2024,"H20.0, H20.1, H20.2, H20.8, H20.9, H22.1, H30, H30.0, H30.1, H30.2, H30.8, H30.9, H35.0, H40.4, H43.3, H44.1"
387_3,Другие виды нарушения обмена аминокислот с разветвленной цепью (Метилмалоновая ацидемия /ацидурия),7/12/2024,E71.1
6_2,Доброкачественная гиперплазия предстательной железы,7/12/2024,N40
204_2,Аногенитальные (венерические) бородавки,7/12/2024,A63.0
647_2,Выпадение женских половых органов,7/11/2024,"N81.0, N81.1, N81.2, N81.3, N81.4, N81.5, N81.6, N81.8, N81.9, N99.3"
261_2,Аллергический ринит,7/11/2024,"J30.1, J30.2, J30.3, J30.4"
786_1,Урогенитальные свищи,7/10/2024,"N32.1, N32.2, N36.0, N82, N82.0, N82.1, N82.9"
708_2,Гастрит и дуоденит,7/10/2024,"K29, K31.8"
194_2,Хламидийная инфекция,7/9/2024,"A56, A74"
679_2,Аногенитальная герпетическая вирусная инфекция,7/9/2024,"A60, A60.0, A60.1, A60.9"
218_2,Гонококковая инфекция,7/9/2024,A54
197_2,Сифилис,7/9/2024,"A50, A51, A52, A53"
216_2,"Урогенитальные заболевания, вызванные Mycoplasma genitalium",7/9/2024,A63.8
241_3,Урогенитальный трихомониаз,7/9/2024,A59
785_1,Искусственный аборт (медицинский аборт),6/7/2024,"O04, O06, O07, O35"
462_2,Острая кишечная непроходимость опухолевой этиологии,6/6/2024,K56.6
377_2,Бронхолегочная дисплазия,6/5/2024,P27.1
613_2,Старческая астения,6/4/2024,R54
193_2,Язвенный колит,5/29/2024,K51
784_1,"Психические и поведенческие расстройства, вызванные употреблением алкоголя Синдром отмены алкоголя (алкогольное абстинентное состояние)",5/20/2024,F10.3
783_1,Гиперчувствительный пневмонит,3/20/2024,"J67, J84.1"
315_4,Отосклероз,3/18/2024,H80
18_2,Болезнь Меньера,3/18/2024,H81.0
782_1,Миопическая макулярная дегенерация (Миопическая макулопатия),3/18/2024,H44.2
609_2,"Потеря слуха, вызванная шумом",3/15/2024,"H83.3, Z57.0"
781_1,Периоральный дерматит,3/11/2024,L71.0
780_1,5q-ассоциированная спинальная мышечная атрофия,2/22/2024,"G12.0, G12.1"
288_2,Нормальная беременность,2/15/2024,"Z32, Z33, Z34, Z35, Z36"
779_1,Врожденные и приобретенные аномалии и деформации зубочелюстной системы и лицевого черепа,12/29/2023,"K07.0, K07.1, K07.4, Q18"
137_2,Лимфома маргинальной зоны,12/20/2023,C83.0
778_1,Скелетно-мышечные (неспецифические) боли в нижней части спины,12/7/2023,M54.5
777_1,Дискогенная пояснично-крестцовая радикулопатия,12/7/2023,"G55.1, M51.1"
11_3,Рак мочевого пузыря,12/6/2023,C67
450_3,Рак уретры,12/6/2023,C68.0
526_2,Уротелиальный рак верхних мочевыводящих путей,12/6/2023,"C65, C66"
325_2,Острый аппендицит у взрослых,11/24/2023,"K35.0, K35.1, K35.9, K36, K37, K38.0, K38.1, K38.2, K38.3, K38.8, K38.9"
776_1,Инфекции амниотической полости и плодных оболочек (хориоамнионит),8/16/2023,O41.1
775_1,"Оперативные влагалищные роды (Роды одноплодные, родоразрешение с наложением щипцов или с применением вакуум-экстрактора)",8/16/2023,"O66.5, O81, O81.0, O81.1, O81.2, O81.3, O81.4, O81.5"
774_1,"Признаки внутриутробной гипоксии плода, требующие предоставления медицинской помощи матери",8/16/2023,"O36.3, O36.8, O36.9, O68.0, O68.1, O68.2, O68.3, O68.8, O68.9, O69.0, O69.1, O69.2, O69.3, O69.4, O69.5, O69.8, O69.9, P20.0, P20.1, P20.9"
264_2,Крапивница,7/19/2023,"L50, L50.0, L50.1, L50.2, L50.3, L50.4, L50.5, L50.6, L50.8, L50.9, T78.3"
772_1,Трехпредсердное сердце,7/14/2023,Q24.2
46_2,Дефект межпредсердной перегородки,7/14/2023,Q21.1
770_1,Нарушение обмена фосфора (Гипофосфатазия),7/5/2023,E83.3
354_2,Другие нарушения накопления липидов (Дефицит лизосомой кислой липазы),7/4/2023,E75.5
769_1,Гемангиома инфантильная,6/28/2023,D18.0
768_1,Разрывы промежности при родоразрешении и другие акушерские травмы (акушерский травматизм),5/22/2023,"O26.7, O70, O71"
767_1,Патологическое прикрепление плаценты (предлежание и врастание плаценты),5/22/2023,"O43.0, O43.1, O43.2, O44.0, O44.1"
766_1,"Медицинская помощь матери при установленном или предполагаемом несоответствии размеров таза и плода. Лицевое, лобное или подбородочное предлежание плода, требующее предоставления медицинской помощи матери",5/22/2023,"O32.3, O33, O33.0, O33.1, O33.2, O33.3, O33.4, O33.5, O33.6, O33.8, O33.9, O64.2, O64.3, O65, O65.0, O65.1, O65.2, O65.3, O65.4, O65.5, O65.8, O65.9"
127_2,Гемофилия,5/4/2023,"D66, D67"
149_2,"Редкие коагулопатии: наследственный дефицит факторов свертывания крови II, VII, X",4/28/2023,D68.2
765_1,Болезни бартолиновой железы,4/25/2023,N75
764_1,Полипы эндометрия,4/25/2023,N84.0
763_2,Меланоформный невус,4/25/2023,D22
518_3,Нейросенсорная тугоухость у взрослых,3/22/2023,"H90.3, H90.4, H90.5, H91.1, H91.2, H91.8"
759_1,"Периодический синдром, ассоциированный с мутацией гена рецептора фактора некроза опухоли (TRAPS) (Другие уточненные нарушения с вовлечением иммунного механизма, не классифицированные в других рубриках)",3/15/2023,D89.8
758_1,"Криопирин-ассоциированные периодические синдромы (Другие уточненные нарушения с вовлечением иммунного механизма, не классифицированные в других рубриках)",3/15/2023,D89.8
757_1,Семейная средиземноморская лихорадка (Наследственный семейный амилоидоз),3/14/2023,E85.0
756_1,Доброкачественные остеогенные и хондрогенные опухоли носа и околоносовых пазух,3/4/2023,D14.0
755_1,Ротавирусный гастроэнтерит у детей,3/3/2023,A08.0
58_2,Менингококковая инфекция у детей,3/3/2023,"A39, Z22.3"
754_1,Коарктация аорты,3/2/2023,Q25.1
753_1,Посттравматическое стрессовое расстройство,2/28/2023,F43.1
115_2,"Сахарный диабет: ретинопатия диабетическая, макулярный отек диабетический",2/15/2023,"E10.3, E11.3, E12.3, E13.3, E14.3, H36.0"
400_2,"Хронический болевой синдром (ХБС) у взрослых пациентов, нуждающихся в паллиативной медицинской помощи",2/15/2023,"R52.1, R52.2, Z51.5"
752_1,Нарушения липидного обмена,2/14/2023,"E78.0, E78.1, E78.2, E78.3, E78.4"
223_2,Грибовидный микоз,2/10/2023,C84.0
751_1,Другие атрофические изменения кожи,2/10/2023,L90.8
234_2,Псориаз,2/10/2023,"L40.0, L40.1, L40.2, L40.3, L40.4, L40.8, L40.9"
750_1,Соматическая дисфункция,2/7/2023,"M99.0, M99.8, M99.9"
17_2,Гидронефроз,1/31/2023,"N13.0, N13.1, Q62.0"
25_2,Острая респираторная вирусная инфекция (ОРВИ),9/13/2022,"J00, J02.9, J04.0, J04.1, J04.2, J06.0, J06.9"
742_1,"Делирий, не обусловленный алкоголем и другими психоактивными веществами, у лиц пожилого и старческого возраста",8/16/2022,F05
741_1,Эпилепсия и эпилептический статус у взрослых и детей,8/16/2022,"F80.3, G40.0, G40.1, G40.2, G40.3, G40.4, G40.5, G40.6, G40.7, G40.8, G40.9, G41.0, G41.1, G41.2, G41.8, G41.9, G83.8, P90, R56.0, R56.8"
290_2,Сахарный диабет 2 типа у взрослых,7/12/2022,"E11.2, E11.3, E11.4, E11.5, E11.6, E11.7, E11.8, E11.9, R73.0, R73.9"
735_1,Первичные иммунодефициты с преимущественной недостаточностью синтеза антител,5/26/2022,"D80.0, D80.1, D80.2, D80.3, D80.4, D80.5, D80.6, D80.7, D80.8, D80.9, D83.0, D83.1, D83.2, D83.8, D83.9"
206_2,Бактериальный вагиноз,5/4/2022,N89
716_1,"Болезнь Паркинсона, вторичный паркинсонизм и другие заболевания, проявляющиеся синдромом паркинсонизма",2/2/2022,"G20, G21.1, G21.2, G21.3, G21.4, G23.1, G23.2, G23.3, G23.8"
677_1,Идиопатический легочный фиброз,9/20/2021,J84.1
653_1,Перелом нижней челюсти,8/24/2021,S02.6
474_2,"Врожденные аномалии костей черепа и лица, врожденные костно-мышечные деформации головы и лица",6/22/2021,"Q67.0, Q67.1, Q67.2, Q67.3, Q67.4, Q75.0, Q75.1, Q75.2, Q75.3, Q75.4, Q75.5, Q75.8, Q75.9, Q87.0"
379_4,Рак молочной железы,1/28/2021,"C50, D05"
12_3,Рак предстательной железы,1/28/2021,C61
600_2,Падения у пациентов пожилого и старческого возраста,11/5/2020,"R29.6, W00, W01, W02, W03, W04, W05, W06, W07, W08, W10, W11, W17, W18, W19"
616_1,Хроническая боль у пациентов пожилого и старческого возраста,11/5/2020,"M25.5, M54, M54.5, R10.2, R52.1, R52.2, R52.9"
574_1,Рак желудка,4/9/2020,C16
